,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
87,GP_Delimitation_2019_Final-1-400.pdf,12,5 .,गनाहेड़ा,"1. गनाहेड़ा
2. चावण्डिया
3. पुष्कर नाला",गनाहेड़ा,"1. गनाहेड़ा
2. पुष्कर नाला",,,,,
88,GP_Delimitation_2019_Final-1-400.pdf,12,6 .,देवनगर,"1. देवनगर
2. बांसेली",देवनगर,1. देवनगर,,,,,
89,GP_Delimitation_2019_Final-1-400.pdf,12,7 .,,,बांसेली,"1. बांसेली
2. चावण्डिया",,,,,
90,GP_Delimitation_2019_Final-1-400.pdf,13,8 .,खोरी,"1. खोरी
2. कंवलाई
3. होंकरा",खोरी,"1. खोरी
2. कंवलाई",,,,,
91,GP_Delimitation_2019_Final-1-400.pdf,13,9 .,कानस,"1. कानस
2. नेडलिया
3. लीला सेवड़ी",कानस,"1. कानस
2. नेडलिया
3. लीला सेवड़ी
4. होंकरा",,,,,
92,GP_Delimitation_2019_Final-1-400.pdf,13,10.,नागेलाव,"1. नागेलाव
2. अलीपुरा",नागेलाव,1. नागेलाव,,,,,
93,GP_Delimitation_2019_Final-1-400.pdf,13,11.,जेठाना,"1. जेठाना
2. सामला",जेठाना,1. जेठाना,,,,,
94,GP_Delimitation_2019_Final-1-400.pdf,13,12 .,,,अलीपुरा,"1. अलीपुरा
2. सामला",,,,,
95,GP_Delimitation_2019_Final-1-400.pdf,13,,,पंचायत समिति-,सरवाड़,,,,,,
96,GP_Delimitation_2019_Final-1-400.pdf,13,क्र.सं.,"वर्तमान
का नाम
ग्रा 0 प 0 |","वर्तमान ग्रा 0 प 0 में सम्मिलित ग्रामों का
नाम","/ पुनर्गठित
पुनर्सीमांकित / नवसृ
जित
ग्रा ० प ० का नाम","पुनर्गठित /
पुनर्सीमांकित /
नवसृजित ग्रा ० प ० में
ग्रामों का नाम",,,,,
97,GP_Delimitation_2019_Final-1-400.pdf,13,1,2,3,4,5,,,,,
98,GP_Delimitation_2019_Final-1-400.pdf,13,1,रामपाली,"1. रामपाली
2. बिलिया
3. गुन्दाली
4. चण्डाली
5. प्रतापपुरा
6. अजगरी
7. सुरजपुरा
8. दौराई",रामपाली,"1. रामपाली
2. बिलिया
3. अजगरी
4. दौराई",,,,,
99,GP_Delimitation_2019_Final-1-400.pdf,13,2,भगवानपुरा,"1. भगवानपुरा
2. चकवा
3. चकवी
4. अरनिया
5. मियां
6. ताजपुरा
7. छापरी
8. जगपुरा",भगवानपुरा,"1. भगवानपुरा
2. चकवा
3. चकवी
4. मियां
5. अरनिया
6. जगपुरा",,,,,
100,GP_Delimitation_2019_Final-1-400.pdf,14,3,,,ताजपुरा,"1. ताजपुरा
2. छापरी GAWN 3. सूरजपुरा
4. चण्डाली
5. प्रतापपुरा
6. गुन्दाली",,,,,
101,GP_Delimitation_2019_Final-1-400.pdf,14,4,सातोलाव,"1. सातोलाव
2. सनोदिया
3. ढिगारिया
4. सांगानेर
5 . जडाना
6. खाण्डरा",सातोलाव,"1. सातोलाव
2. सांगानेर
3. सनोदिया",,,,,
102,GP_Delimitation_2019_Final-1-400.pdf,14,LO,,,जडाना,"1. जडाना
2. खाण्डरा
3. ढ़िगारिया",,,,,
